atm-debug-tools_2.5.2-5_mipsel_mips32_ilmidiag,Benign,8216,2.984,MIPS,EXEC,SYSTEMV,10,2,0,1,1,1,1,3,15,27
ld,Benign,1162675,5.909,MIPS,EXEC,SYSTEMV,11,2,0,1,1,1,1,3,205,523
hostapd_2016-12-19-ad02e79d-7_mipsel_mips32_hostapd,Benign,661160,5.989,MIPS,EXEC,SYSTEMV,9,2,0,1,1,1,1,5,165,180
printf,Benign,451896,5.966,MIPS,EXEC,SYSTEMV,8,2,0,1,1,0,1,2,314,334
dmesg,Benign,451896,5.966,MIPS,EXEC,SYSTEMV,8,2,0,1,1,0,1,2,314,334
atmloop,Benign,8216,3.046,MIPS,EXEC,SYSTEMV,10,2,0,1,1,1,1,3,15,28
pppoe-discovery,Benign,12328,5.538,MIPS,EXEC,SYSTEMV,10,2,0,1,1,1,1,2,42,55
logd,Benign,12712,4.344,MIPS,EXEC,SYSTEMV,10,2,0,1,1,1,1,4,53,65
svc_recv,Benign,8216,3.184,MIPS,EXEC,SYSTEMV,10,2,0,1,1,1,1,3,22,34
spidev_test,Benign,8264,4.325,MIPS,EXEC,SYSTEMV,10,2,0,1,1,1,1,2,19,30
nc,Benign,451896,5.966,MIPS,EXEC,SYSTEMV,8,2,0,1,1,0,1,2,314,334
meshd,Benign,57400,5.826,MIPS,EXEC,SYSTEMV,10,2,0,1,1,1,1,4,98,182
c++filt,Benign,24723,5.13,MIPS,EXEC,SYSTEMV,10,2,0,1,1,1,1,3,72,104
lldpd,Benign,187715,6.01,MIPS,EXEC,SYSTEMV,10,2,0,1,1,1,1,3,143,283
rssileds,Benign,8216,3.68,MIPS,EXEC,SYSTEMV,10,2,0,1,1,1,1,6,24,35
ld.bfd,Benign,1162675,5.909,MIPS,EXEC,SYSTEMV,11,2,0,1,1,1,1,3,205,523
look,Benign,8243,4.345,MIPS,EXEC,SYSTEMV,10,2,0,1,1,1,1,2,37,52
ubusd,Benign,24776,5.119,MIPS,EXEC,SYSTEMV,10,2,0,1,1,1,1,5,64,77
bridge,Benign,45327,5.821,MIPS,EXEC,SYSTEMV,9,2,0,1,1,1,1,2,74,116
readelf,Benign,487923,6.296,MIPS,EXEC,SYSTEMV,11,2,0,1,1,1,1,2,68,177
flood_router26,Benign,53304,5.577,MIPS,EXEC,SYSTEMV,10,2,0,1,1,1,1,3,61,75
mkswap,Benign,451896,5.966,MIPS,EXEC,SYSTEMV,8,2,0,1,1,0,1,2,314,334
parse.f2fs,Benign,8264,4.083,MIPS,EXEC,SYSTEMV,10,2,0,1,1,1,1,2,21,34
nm,Benign,37543,5.566,MIPS,EXEC,SYSTEMV,10,2,0,1,1,1,1,3,91,128
mv,Benign,451896,5.966,MIPS,EXEC,SYSTEMV,8,2,0,1,1,0,1,2,314,334
hostapd_cli,Benign,51320,5.859,MIPS,EXEC,SYSTEMV,9,2,0,1,1,0,1,2,87,102
netifd,Benign,132680,5.754,MIPS,EXEC,SYSTEMV,10,2,0,1,1,1,1,8,177,192
prlimit,Benign,25275,5.149,MIPS,EXEC,SYSTEMV,10,2,0,1,1,1,1,3,72,92
gdb,Benign,4539491,6.049,MIPS,EXEC,SYSTEMV,11,2,0,1,1,1,1,4,320,397
exploit6,Benign,53320,5.601,MIPS,EXEC,SYSTEMV,10,2,0,1,1,1,1,3,59,72
bzip2,Benign,29059,5.7,MIPS,EXEC,SYSTEMV,10,2,0,1,1,1,1,3,59,93
conntrackd,Benign,177352,5.953,MIPS,EXEC,SYSTEMV,10,2,0,1,1,1,1,7,206,512
swap-utils_2.29.2-1_mipsel_mips32_mkswap,Benign,70403,5.706,MIPS,EXEC,SYSTEMV,10,2,0,1,1,1,1,4,135,212
gzip,Benign,451896,5.966,MIPS,EXEC,SYSTEMV,8,2,0,1,1,0,1,2,314,334
iwconfig,Benign,49224,5.853,MIPS,EXEC,SYSTEMV,9,2,0,1,1,1,1,2,60,73
passwd,Benign,451896,5.966,MIPS,EXEC,SYSTEMV,8,2,0,1,1,0,1,2,314,334
sysctl,Benign,451896,5.966,MIPS,EXEC,SYSTEMV,8,2,0,1,1,0,1,2,314,334
wg,Benign,54360,5.607,MIPS,EXEC,SYSTEMV,10,2,0,1,1,1,1,3,119,133
eapol_test,Benign,606824,5.977,MIPS,EXEC,SYSTEMV,9,2,0,1,1,1,1,3,108,121
time,Benign,451896,5.966,MIPS,EXEC,SYSTEMV,8,2,0,1,1,0,1,2,314,334
uptime,Benign,451896,5.966,MIPS,EXEC,SYSTEMV,8,2,0,1,1,0,1,2,314,334
tc,Benign,261947,6,MIPS,EXEC,SYSTEMV,9,2,0,1,1,1,1,2,109,158
du,Benign,451896,5.966,MIPS,EXEC,SYSTEMV,8,2,0,1,1,0,1,2,314,334
valgrind,Benign,16424,4.834,MIPS,EXEC,SYSTEMV,10,2,0,1,1,1,1,2,36,47
mdadm,Benign,353384,5.972,MIPS,EXEC,SYSTEMV,9,2,0,1,1,1,1,2,141,156
detect-new-ip6,Benign,49208,5.606,MIPS,EXEC,SYSTEMV,10,2,0,1,1,1,1,3,60,73
denial6,Benign,53304,5.732,MIPS,EXEC,SYSTEMV,10,2,0,1,1,1,1,3,59,72
wget,Benign,16424,5.065,MIPS,EXEC,SYSTEMV,10,2,0,1,1,1,1,4,61,76
objdump,Benign,347879,6.041,MIPS,EXEC,SYSTEMV,11,2,0,1,1,1,1,4,142,311
bzip2_1.0.6-4_mipsel_mips32_bzip2,Benign,29059,5.7,MIPS,EXEC,SYSTEMV,10,2,0,1,1,1,1,3,59,93
blkdiscard,Benign,20803,4.954,MIPS,EXEC,SYSTEMV,10,2,0,1,1,1,1,2,64,85
mcookie,Benign,24903,5.236,MIPS,EXEC,SYSTEMV,10,2,0,1,1,1,1,2,71,97
iperf3,Benign,90856,5.758,MIPS,EXEC,SYSTEMV,10,2,0,1,1,1,1,2,115,130
getopt,Benign,12323,4.161,MIPS,EXEC,SYSTEMV,10,2,0,1,1,1,1,2,40,51
cp,Benign,451896,5.966,MIPS,EXEC,SYSTEMV,8,2,0,1,1,0,1,2,314,334
mountpoint,Benign,8223,4.171,MIPS,EXEC,SYSTEMV,10,2,0,1,1,1,1,5,40,50
aread,Benign,4120,4.49,MIPS,EXEC,SYSTEMV,10,2,0,1,1,1,1,3,18,30
atm-debug-tools_2.5.2-5_mipsel_mips32_sonetdiag,Benign,8296,3.177,MIPS,EXEC,SYSTEMV,10,2,0,1,1,1,1,3,14,25
kill_router6,Benign,49224,5.758,MIPS,EXEC,SYSTEMV,10,2,0,1,1,1,1,3,58,71
none-mips32-linux,Benign,1716900,6.236,MIPS,EXEC,SYSTEMV,5,2,0,0,0,0,1,0,0,0
pgrep,Benign,451896,5.966,MIPS,EXEC,SYSTEMV,8,2,0,1,1,0,1,2,314,334
adb,Benign,140248,5.865,MIPS,EXEC,SYSTEMV,10,2,0,1,1,1,1,4,142,155
objcopy,Benign,223715,5.911,MIPS,EXEC,SYSTEMV,11,2,0,1,1,1,1,3,158,276
wpad_2016-12-19-ad02e79d-7_mipsel_mips32_wpa_supplicant,Benign,1050296,5.98,MIPS,EXEC,SYSTEMV,9,2,0,1,1,1,1,5,182,197
nslookup,Benign,451896,5.966,MIPS,EXEC,SYSTEMV,8,2,0,1,1,0,1,2,314,334
chgrp,Benign,451896,5.966,MIPS,EXEC,SYSTEMV,8,2,0,1,1,0,1,2,314,334
tracepath,Benign,8232,4.958,MIPS,EXEC,SYSTEMV,10,2,0,1,1,1,1,2,32,47
ln,Benign,451896,5.966,MIPS,EXEC,SYSTEMV,8,2,0,1,1,0,1,2,314,334
nstat,Benign,16431,5.349,MIPS,EXEC,SYSTEMV,9,2,0,1,1,1,1,2,66,83
find,Benign,451896,5.966,MIPS,EXEC,SYSTEMV,8,2,0,1,1,0,1,2,314,334
fake_router26,Benign,57448,5.824,MIPS,EXEC,SYSTEMV,10,2,0,1,1,1,1,3,59,73
dnsmasq,Benign,289992,5.854,MIPS,EXEC,SYSTEMV,9,2,0,1,1,1,1,7,178,198
cut,Benign,451896,5.966,MIPS,EXEC,SYSTEMV,8,2,0,1,1,0,1,2,314,334
lua,Benign,12335,4.195,MIPS,EXEC,SYSTEMV,10,2,0,1,1,1,1,3,51,66
fusermount,Benign,20520,5.206,MIPS,EXEC,SYSTEMV,10,2,0,1,1,1,1,2,66,80
uci,Benign,12328,5.199,MIPS,EXEC,SYSTEMV,10,2,0,1,1,1,1,4,50,65
fake_mipv6,Benign,49208,5.572,MIPS,EXEC,SYSTEMV,10,2,0,1,1,1,1,3,57,69
xfs_db,Benign,463624,5.919,MIPS,EXEC,SYSTEMV,10,2,0,1,1,1,1,3,120,136
env,Benign,451896,5.966,MIPS,EXEC,SYSTEMV,8,2,0,1,1,0,1,2,314,334
lldpctl,Benign,82223,5.9,MIPS,EXEC,SYSTEMV,10,2,0,1,1,1,1,3,77,96
iwpan,Benign,25656,4.939,MIPS,EXEC,SYSTEMV,10,2,0,1,1,1,1,4,69,81
atm-debug-tools_2.5.2-5_mipsel_mips32_ttcp_atm,Benign,17624,5.558,MIPS,EXEC,SYSTEMV,10,2,0,1,1,1,1,3,57,73
owipcalc,Benign,12728,5.25,MIPS,EXEC,SYSTEMV,10,2,0,1,1,1,1,2,22,33
netstat,Benign,451896,5.966,MIPS,EXEC,SYSTEMV,8,2,0,1,1,0,1,2,314,334
sed,Benign,451896,5.966,MIPS,EXEC,SYSTEMV,8,2,0,1,1,0,1,2,314,334
memcheck-mips32-linux,Benign,1975060,6.277,MIPS,EXEC,SYSTEMV,5,2,0,0,0,0,1,0,0,0
maccalc,Benign,4264,4.955,MIPS,EXEC,SYSTEMV,9,2,0,1,1,0,1,2,12,23
iptaccount,Benign,8216,4.14,MIPS,EXEC,SYSTEMV,10,2,0,1,1,1,1,3,22,34
ls,Benign,451896,5.966,MIPS,EXEC,SYSTEMV,8,2,0,1,1,0,1,2,314,334
tail,Benign,451896,5.966,MIPS,EXEC,SYSTEMV,8,2,0,1,1,0,1,2,314,334
cal,Benign,45787,5.479,MIPS,EXEC,SYSTEMV,10,2,0,1,1,1,1,3,106,143
zcat,Benign,451896,5.966,MIPS,EXEC,SYSTEMV,8,2,0,1,1,0,1,2,314,334
gdbserver,Benign,300491,6.101,MIPS,EXEC,SYSTEMV,11,2,0,1,1,1,1,1,134,157
address6,Benign,49208,5.684,MIPS,EXEC,SYSTEMV,10,2,0,1,1,1,1,3,57,69
rmdir,Benign,451896,5.966,MIPS,EXEC,SYSTEMV,8,2,0,1,1,0,1,2,314,334
tee,Benign,451896,5.966,MIPS,EXEC,SYSTEMV,8,2,0,1,1,0,1,2,314,334
tr,Benign,451896,5.966,MIPS,EXEC,SYSTEMV,8,2,0,1,1,0,1,2,314,334
usbreset,Benign,8216,3.637,MIPS,EXEC,SYSTEMV,10,2,0,1,1,1,1,2,24,36
mount,Benign,451896,5.966,MIPS,EXEC,SYSTEMV,8,2,0,1,1,0,1,2,314,334
agetty,Benign,46175,5.295,MIPS,EXEC,SYSTEMV,10,2,0,1,1,1,1,2,138,159
pppstats,Benign,12312,4.711,MIPS,EXEC,SYSTEMV,10,2,0,1,1,1,1,2,32,47
sort,Benign,451896,5.966,MIPS,EXEC,SYSTEMV,8,2,0,1,1,0,1,2,314,334
yes,Benign,451896,5.966,MIPS,EXEC,SYSTEMV,8,2,0,1,1,0,1,2,314,334
atmswitch,Benign,8216,3.281,MIPS,EXEC,SYSTEMV,10,2,0,1,1,1,1,3,21,36
wall,Benign,20827,5.253,MIPS,EXEC,SYSTEMV,10,2,0,1,1,1,1,2,87,107
